instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,gender,age,participant,date,expName,frameRate,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,0,0,0,,,e,1,3.4499891949999437,i,1,2.7555400530000043,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,1,1,0,,,e,1,0.5245398370007024,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,0,2,1,,,i,1,1.5111922930009314,e,1,0.43517438099843275,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,1,3,1,,,i,1,1.9117856900011247,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,i,1,0.6586434750006447,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,1,5,0,,,e,1,0.9964243009999336,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,0,6,1,,,i,1,0.9593440980006562,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,i,1,0.5121365260001767,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,8,0,,,e,1,1.9135104119995958,i,1,1.0305625170003623,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,1,9,1,,,i,1,0.8693097790001048,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,5,0,10,1,,,i,1,0.4289805450007407,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,1,11,0,,,e,1,1.8731540709995897,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,6,0,12,0,,,e,1,1.5432972819999122,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Space,Technology, ,None, ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,6,1,13,1,,,i,1,0.6535224060007749,None,0,,male,23,10,2023-10-08_09h39.28.239,IAT,60.09425134278361,
